time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 10:00:00,16.2,16.39,15.78,15.91,32961,1,21363300
2023-01-02 11:00:00,15.91,15.97,15.71,15.89,35760,1,14613400
2023-01-02 12:00:00,15.89,15.91,15.75,15.87,21224,1,9720200
2023-01-02 13:00:00,15.87,16.03,15.83,15.89,10474,1,6194000
2023-01-02 14:00:00,15.89,15.96,15.85,15.88,5300,1,2323700
2023-01-02 15:00:00,15.88,15.91,15.81,15.83,6925,1,3384600
2023-01-02 16:00:00,15.83,15.89,15.76,15.86,9883,1,10275000
2023-01-02 17:00:00,15.87,15.88,15.7,15.78,13322,1,10550500
2023-01-03 10:00:00,15.79,15.9,15.23,15.44,26294,1,24139800
2023-01-03 11:00:00,15.44,15.83,15.4,15.61,22885,1,15453700
2023-01-03 12:00:00,15.62,15.63,15.38,15.55,15208,1,8873800
2023-01-03 13:00:00,15.54,15.59,15.32,15.36,11644,1,8308000
2023-01-03 14:00:00,15.36,15.51,15.34,15.37,9622,1,6880900
2023-01-03 15:00:00,15.37,15.41,15.35,15.39,7071,1,3386800
2023-01-03 16:00:00,15.39,15.39,15.27,15.34,15861,1,9188200
2023-01-03 17:00:00,15.35,15.43,15.23,15.38,20849,1,20519100
2023-01-04 10:00:00,15.12,15.46,15.03,15.36,13258,1,10033600
2023-01-04 11:00:00,15.35,15.42,15.29,15.31,17426,1,10593400
2023-01-04 12:00:00,15.31,15.56,15.25,15.56,19443,1,11526400
2023-01-04 13:00:00,15.56,16.25,15.54,15.89,43870,1,46103700
2023-01-04 14:00:00,15.89,16.05,15.86,15.94,19888,1,18580800
2023-01-04 15:00:00,15.94,16.09,15.88,16.03,11808,1,7929000
2023-01-04 16:00:00,16.03,16.08,15.87,15.92,11245,1,7158600
2023-01-04 17:00:00,15.92,15.94,15.78,15.87,12578,1,17578500
2023-01-05 10:00:00,16.07,16.27,15.94,16.02,14822,1,12208600
2023-01-05 11:00:00,16.02,16.19,15.98,16.11,17515,1,10867700
2023-01-05 12:00:00,16.1,16.38,16.05,16.31,14230,1,11181000
2023-01-05 13:00:00,16.32,16.51,16.31,16.41,10293,1,7935400
2023-01-05 14:00:00,16.41,16.55,16.4,16.49,9265,1,6108500
2023-01-05 15:00:00,16.49,16.52,16.34,16.36,8577,1,9266500
2023-01-05 16:00:00,16.36,16.42,16.33,16.34,6170,1,6677300
2023-01-05 17:00:00,16.33,16.46,16.3,16.44,7438,1,9641000
2023-01-06 10:00:00,16.48,16.74,16.38,16.7,11589,1,8907600
2023-01-06 11:00:00,16.7,16.7,16.21,16.27,13901,1,13372900
2023-01-06 12:00:00,16.27,16.47,16.25,16.39,8577,1,5284900
2023-01-06 13:00:00,16.39,16.41,16.29,16.38,6255,1,3895300
2023-01-06 14:00:00,16.38,16.45,16.36,16.4,12006,1,3595100
2023-01-06 15:00:00,16.4,16.4,16.27,16.28,13420,1,4266100
2023-01-06 16:00:00,16.29,16.37,16.25,16.37,16518,1,5012000
2023-01-06 17:00:00,16.37,16.42,16.32,16.34,14267,1,7517600
2023-01-09 10:00:00,16.18,16.52,16.0,16.4,14967,1,10347700
2023-01-09 11:00:00,16.4,16.47,16.25,16.38,10797,1,6489300
2023-01-09 12:00:00,16.38,16.4,16.25,16.34,6786,1,4675800
2023-01-09 13:00:00,16.34,16.45,16.31,16.41,6206,1,3924500
2023-01-09 14:00:00,16.4,16.45,16.35,16.43,5758,1,5138300
2023-01-09 15:00:00,16.43,16.47,16.39,16.42,5939,1,4351800
2023-01-09 16:00:00,16.42,16.46,16.36,16.4,5134,1,2981800
2023-01-09 17:00:00,16.4,16.43,16.34,16.43,7215,1,8476000
2023-01-10 10:00:00,16.49,16.53,16.29,16.31,7734,1,6142700
2023-01-10 11:00:00,16.3,16.48,16.22,16.27,10287,1,7750500
2023-01-10 12:00:00,16.27,16.27,16.09,16.16,10847,1,8357400
2023-01-10 13:00:00,16.15,16.26,16.14,16.25,5258,1,3206300
2023-01-10 14:00:00,16.26,16.31,16.25,16.27,4790,1,3406100
2023-01-10 15:00:00,16.27,16.56,16.26,16.51,9403,1,8117800
2023-01-10 16:00:00,16.51,16.6,16.49,16.53,9406,1,6421000
2023-01-10 17:00:00,16.54,16.58,16.45,16.58,9928,1,9754800
2023-01-11 10:00:00,16.62,16.95,16.62,16.89,17243,1,13373200
2023-01-11 11:00:00,16.89,16.92,16.7,16.8,11672,1,8888100
2023-01-11 12:00:00,16.79,16.82,16.6,16.69,8383,1,5431100
2023-01-11 13:00:00,16.69,16.73,16.61,16.69,5389,1,2639500
2023-01-11 14:00:00,16.69,16.73,16.59,16.61,8004,1,3987400
2023-01-11 15:00:00,16.62,16.69,16.56,16.66,8288,1,4101000
2023-01-11 16:00:00,16.66,16.68,16.59,16.68,6351,1,2425400
2023-01-11 17:00:00,16.68,16.73,16.62,16.71,13206,1,12690800
2023-01-12 10:00:00,16.72,16.8,16.61,16.73,8563,1,5953400
2023-01-12 11:00:00,16.73,16.74,16.6,16.67,8790,1,5511400
2023-01-12 12:00:00,16.68,16.83,16.65,16.8,7895,1,7651300
2023-01-12 13:00:00,16.8,16.88,16.76,16.8,7886,1,6090700
2023-01-12 14:00:00,16.8,16.88,16.76,16.87,6905,1,4359400
2023-01-12 15:00:00,16.87,16.92,16.84,16.9,8416,1,8416400
2023-01-12 16:00:00,16.9,16.93,16.87,16.89,9677,1,8263100
2023-01-12 17:00:00,16.89,16.97,16.82,16.95,9617,1,11884300
2023-01-13 10:00:00,16.82,16.95,16.73,16.76,8664,1,7566300
2023-01-13 11:00:00,16.76,16.85,16.69,16.81,8098,1,5265500
2023-01-13 12:00:00,16.81,16.93,16.73,16.88,6065,1,4806500
2023-01-13 13:00:00,16.88,16.89,16.78,16.82,5186,1,3571600
2023-01-13 14:00:00,16.82,16.87,16.78,16.84,6252,1,3899300
2023-01-13 15:00:00,16.84,16.89,16.8,16.87,4806,1,2719700
2023-01-13 16:00:00,16.87,16.95,16.86,16.88,9833,1,3973400
2023-01-13 17:00:00,16.89,16.98,16.87,16.91,8544,1,8200400
2023-01-16 10:00:00,16.8,16.87,16.76,16.8,3814,1,3004100
2023-01-16 11:00:00,16.8,16.81,16.6,16.66,8093,1,5514400
2023-01-16 12:00:00,16.65,16.65,16.52,16.55,6060,1,3700200
2023-01-16 13:00:00,16.56,16.62,16.52,16.62,3556,1,1833200
2023-01-16 14:00:00,16.62,16.65,16.58,16.62,3764,1,1809800
2023-01-16 15:00:00,16.62,16.62,16.5,16.51,5711,1,2519700
2023-01-16 16:00:00,16.5,16.53,16.41,16.46,6732,1,4255800
2023-01-16 17:00:00,16.45,16.55,16.4,16.55,8035,1,9336500
2023-01-17 10:00:00,16.6,16.91,16.6,16.84,10141,1,8572800
2023-01-17 11:00:00,16.85,17.06,16.77,17.04,11711,1,10217800
2023-01-17 12:00:00,17.04,17.28,17.02,17.18,17567,1,14605600
2023-01-17 13:00:00,17.17,17.37,17.15,17.29,11736,1,9835700
2023-01-17 14:00:00,17.29,17.31,17.22,17.23,8351,1,6631200
2023-01-17 15:00:00,17.23,17.31,17.19,17.22,10952,1,8074400
2023-01-17 16:00:00,17.22,17.47,17.19,17.43,14510,1,16067000
2023-01-17 17:00:00,17.43,17.64,17.4,17.57,15112,1,17793000
2023-01-18 10:00:00,17.79,17.92,17.61,17.63,17109,1,15329700
2023-01-18 11:00:00,17.62,17.79,17.51,17.56,14291,1,12089100
2023-01-18 12:00:00,17.57,17.7,17.51,17.62,11211,1,5772300
2023-01-18 13:00:00,17.62,17.66,17.46,17.55,7514,1,5834400
2023-01-18 14:00:00,17.55,17.61,17.42,17.42,9996,1,8393900
2023-01-18 15:00:00,17.42,17.47,17.35,17.4,9118,1,4804900
2023-01-18 16:00:00,17.4,17.48,17.36,17.37,8003,1,3986800
2023-01-18 17:00:00,17.37,17.37,17.21,17.26,12210,1,13481800
2023-01-19 10:00:00,17.21,17.51,17.07,17.44,13584,1,12186500
2023-01-19 11:00:00,17.45,17.55,17.3,17.53,13616,1,7703500
2023-01-19 12:00:00,17.53,17.64,17.46,17.49,11712,1,7888200
2023-01-19 13:00:00,17.49,17.51,17.35,17.37,7920,1,5219400
2023-01-19 14:00:00,17.37,17.52,17.37,17.46,5760,1,3317200
2023-01-19 15:00:00,17.46,17.59,17.44,17.55,6358,1,3428200
2023-01-19 16:00:00,17.57,17.73,17.53,17.67,9742,1,7212600
2023-01-19 17:00:00,17.67,17.86,17.66,17.78,16267,1,31522700
2023-01-20 10:00:00,17.82,17.92,17.5,17.58,14832,1,12900100
2023-01-20 11:00:00,17.58,17.71,17.54,17.65,11344,1,20687000
2023-01-20 12:00:00,17.65,17.95,17.64,17.93,23726,1,19097000
2023-01-20 13:00:00,17.93,17.99,17.88,17.88,13340,1,10587000
