time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,RSI
2024-05-02 10:00:00,38.45,38.57,38.27,38.37,11373,1,9993900,,
2024-05-02 11:00:00,38.39,38.42,38.14,38.21,7663,1,4949200,,
2024-05-02 12:00:00,38.22,38.35,38.16,38.2,6334,1,2853900,,
2024-05-02 13:00:00,38.2,38.33,38.08,38.3,6943,1,2984300,,
2024-05-02 14:00:00,38.3,38.39,38.26,38.28,6279,1,1917100,,
2024-05-02 15:00:00,38.28,38.42,38.2,38.41,8120,1,3019500,,
2024-05-02 16:00:00,38.41,38.48,38.29,38.39,8997,1,7396500,,
2024-05-03 10:00:00,38.63,38.63,37.6,37.67,16499,1,13053200,,
2024-05-03 11:00:00,37.68,37.77,37.45,37.67,14865,1,8752900,,
2024-05-03 12:00:00,37.66,37.91,37.64,37.8,9838,1,4247000,,
2024-05-03 13:00:00,37.81,38.01,37.79,37.87,6002,1,2381800,,
2024-05-03 14:00:00,37.88,37.97,37.87,37.96,6112,1,2619300,,
2024-05-03 15:00:00,37.96,37.99,37.86,37.93,6007,1,3467900,,
2024-05-03 16:00:00,37.94,37.97,37.7,37.87,8016,1,10481800,,33.766233766233526
2024-05-06 10:00:00,37.85,38.24,37.71,38.15,6162,1,4363500,,43.95604395604392
2024-05-06 11:00:00,38.17,38.32,38.11,38.27,12494,1,3437400,,51.68539325842704
2024-05-06 12:00:00,38.27,38.31,38.13,38.15,7053,1,1939400,,48.677248677248556
2024-05-06 13:00:00,38.15,38.23,37.99,38.06,6970,1,3025800,,43.617021276595864
2024-05-06 14:00:00,38.06,38.12,37.96,38.03,6690,1,2966500,,43.38624338624339
2024-05-06 15:00:00,38.04,38.18,38.04,38.15,5860,1,1805600,38.087,43.085106382978786
2024-05-06 16:00:00,38.15,38.18,38.07,38.13,8434,1,5329200,38.075,43.085106382978786
2024-05-07 10:00:00,38.12,38.34,37.97,38.28,6364,1,4348200,38.0785,73.28244274809154
2024-05-07 11:00:00,38.28,38.5,38.21,38.47,7293,1,4284300,38.092,76.66666666666657
2024-05-07 12:00:00,38.47,38.52,38.34,38.38,6591,1,3282700,38.096,69.86301369863031
2024-05-07 13:00:00,38.38,38.48,38.36,38.44,3238,1,1453700,38.104,69.65517241379317
2024-05-07 14:00:00,38.45,38.57,38.41,38.42,5001,1,2573200,38.1045,66.66666666666683
2024-05-07 15:00:00,38.43,38.57,38.41,38.52,4621,1,1873800,38.111000000000004,70.34482758620717
2024-05-07 16:00:00,38.51,38.59,38.46,38.59,5504,1,5793200,38.157,74.65753424657578
2024-05-08 10:00:00,38.31,38.87,38.27,38.86,9665,1,5150000,38.2165,74.48275862068999
2024-05-08 11:00:00,38.86,38.99,38.74,38.92,13045,1,3843600,38.2725,73.38129496402908
2024-05-08 12:00:00,38.92,39.0,38.87,38.96,6063,1,2426500,38.327000000000005,80.91603053435185
2024-05-08 13:00:00,38.97,38.98,38.84,38.92,3435,1,1358500,38.375,84.12698412698474
2024-05-08 14:00:00,38.92,38.93,38.84,38.87,4318,1,1456700,38.422000000000004,82.81250000000037
2024-05-08 15:00:00,38.88,39.06,38.85,39.05,6935,1,3082200,38.481,83.5820895522392
2024-05-08 16:00:00,39.06,39.24,39.04,39.18,10285,1,7835500,38.5325,86.20689655172433
2024-05-09 10:00:00,38.98,39.35,38.87,39.26,12621,1,8443000,38.582,85.50724637681178
2024-05-09 11:00:00,39.27,39.45,39.2,39.27,8217,1,4210300,38.638,83.33333333333363
2024-05-09 12:00:00,39.27,39.39,39.22,39.23,6317,1,2699100,38.6965,86.95652173913001
2024-05-09 13:00:00,39.26,39.37,39.23,39.33,4814,1,1630500,38.7615,87.39495798319292
2024-05-09 14:00:00,39.32,39.42,39.29,39.41,4790,1,1494400,38.8245,89.59999999999934
2024-05-09 15:00:00,39.42,39.72,39.4,39.58,7203,1,4240100,38.897,90.15151515151453
2024-05-09 16:00:00,39.57,39.58,39.46,39.56,7216,1,4383600,38.961,88.1889763779524
2024-05-10 10:00:00,39.72,39.96,39.62,39.71,10354,1,6516900,39.023,86.95652173913008
2024-05-10 11:00:00,39.7,39.72,39.42,39.52,5239,1,3777400,39.08,73.4374999999999
2024-05-10 12:00:00,39.52,39.64,39.4,39.43,6201,1,3353700,39.1295,67.66917293233061
2024-05-10 13:00:00,39.43,39.68,39.4,39.62,4654,1,1928300,39.189499999999995,73.64864864864833
2024-05-10 14:00:00,39.62,39.64,39.47,39.6,4888,1,2150800,39.2435,75.17241379310353
2024-05-10 15:00:00,39.6,39.64,39.5,39.52,4282,1,1885600,39.29,67.40740740740762
2024-05-10 16:00:00,39.52,39.63,39.44,39.47,6299,1,8282300,39.320499999999996,61.41732283464561
2024-05-13 10:00:00,39.63,39.84,39.61,39.78,4775,1,2703900,39.3635,67.33333333333336
2024-05-13 11:00:00,39.8,39.81,39.63,39.65,4771,1,1531000,39.397999999999996,61.728395061728214
2024-05-13 12:00:00,39.64,39.65,39.46,39.53,5577,1,2677500,39.4285,58.823529411764845
2024-05-13 13:00:00,39.54,39.62,39.43,39.54,5433,1,1777000,39.462,56.52173913043484
2024-05-13 14:00:00,39.54,39.56,39.41,39.49,4417,1,1465600,39.484,52.53164556962044
2024-05-13 15:00:00,39.5,39.61,39.48,39.54,5870,1,2626200,39.501999999999995,48.63013698630139
2024-05-13 16:00:00,39.54,39.58,39.44,39.51,8690,1,5508000,39.5145,48.299319727891
2024-05-14 10:00:00,38.7,38.73,38.13,38.51,30366,1,17513300,39.4765,24.13793103448262
2024-05-14 11:00:00,38.52,39.07,38.47,39.01,13034,1,8285600,39.4655,40.30418250950559
2024-05-14 12:00:00,39.01,39.21,38.83,39.08,8621,1,6093500,39.452999999999996,43.29501915708808
